,Review,date,Location,Language,positive_score,negative_score,polarity_score
0,"['was', 'impressed', 'the', 'resort', 'great', 'staff', 'the', 'main', 'resort', 'pool', 'bar', 'had', 'blast', 'them', 'clean', 'professional', 'staff', 'great', 'location', 'very', 'reasonable', 'read', 'read', 'less']",2019-08-20,Sebastian,en,5,0,5
1,"['rooms', 'nice', 'outside', 'needs', 'work', 'also', 'free', 'breakfast', 'would', 'been', 'nice', 'overall', 'was', 'ok', 'read', 'read', 'less']",2019-08-20,Los Angeles,en,4,0,4
2,"['great', 'location', 'have', 'stayed', 'this', 'hotel', 'my', 'last', 'three', 'trips', 'new', 'york', 'read', 'read', 'less']",2019-08-20,Georgia,en,1,0,1
3,"['hotel', 'adequate', 'my', 'stay', 'strips', 'bathtub', 'useless', 'fell', 'taking', 'shower', 'i', 'asked', 'the', 'front', 'desk', 'staff', 'several', 'times', 'get', 'bath', 'mat', 'they', 'never', 'management', 'unresponsive', 'my', 'request', 'poor', 'someone', 'gone', 'dollar', 'store', 'gotten', 'a', 'bath', 'mat', 'breakfast', 'was', 'good', 'it', 'would', 'have', 'been', 'nice', 'have', 'yogurt', 'or', 'cottage', 'cheese', 'the', 'buffet', 'read', 'read', 'less']",2019-08-20,,en,3,4,-1
4,"['great', 'location', 'room', 'large', 'spacious', 'parking', 'easy', 'we', 'appreciated', 'friendly', 'staff', 'read', 'read', 'less']",2019-08-19,Palm Harbor,en,5,0,5
5,"['the', 'options', 'fun', 'great', 'wish', 'were', 'better', 'policy', 'the', 'lazy', 'river', 'floats', 'lots', 'people', 'hoarding', 'read', 'read', 'less']",2019-08-19,,en,3,1,2
6,"['old', 'musty', 'motel', 'bath', 'need', 'update', 'asap', 'read', 'read', 'less']",2019-08-19,,en,0,1,-1
7,"['loved', 'layout', 'hotel', 'the', 'relaxing', 'pool', 'area', 'con', 'housekeeping', 'maintenance', 'staff', 'passing', 'the', 'room', 'carts', 'speaking', 'loudly', 'radios', '7', '7', '30', 'read', 'read', 'less']",2019-08-19,,en,1,0,1
8,"['wife', 'i', 'loved', 'everything', 'it', 's', 'close', 'everything', 'everywhere', 'recommending', 'others', 'we', 'will', 'definitely', 'back', 'read', 'read', 'less']",2019-08-19,,en,1,0,1
9,"['rooms', 'very', 'small', 'told', 'had', 'complimentary', 'upgrade', 'a', 'empire', 'state', 'building', 'view', 'room', 'it', 'a', 'regular', 'room', 'everything', 'else', 'ok', 'read', 'read', 'less']",2019-08-19,,en,1,0,1
10,"['clean', 'friendly', 'love', 'location', 'restaurant', 'is', 'inside', 'excellent', 'food', 'service', 'bathrooms', 'a', 'little', 'small', 'they', 'vintage', 'overall', 'i', 'would', 'definitely', 'stay', 'read', 'read', 'less']",2019-08-19,California,en,4,0,4
11,"['nice', 'comfortable', 'good', 'position', 'near', 'station', 'the', 'subway', 'read', 'read', 'less']",2019-08-19,,en,3,0,3
12,"['location', 'great', 'lobby', 'area', 'nice', 'room', 'needs', 'be', 'upgraded', 'read', 'read', 'less']",2019-08-19,,en,3,0,3
13,"['quiet', 'great', 'location', 'good', 'control', 'at', 'entrance', 'elevators', 'read', 'read', 'less']",2019-08-19,,en,3,0,3
14,"['el', 'servicio', 'super', 'amables', 'todos', 'en', 'el', 'buffet', 'todos', 'supur', 'amablea', 'creo', 'que', 'ellos', 'marcan', 'la', 'diferencia', 'hacen', 'que', 'tu', 'mal', 'momento', 'en', 'el', 'lobby', 'se', 'olvide', 'read', 'read', 'less']",2019-08-19,,es,1,0,1
15,"['nice', 'quiet', 'clean', 'rooms', 'will', 'return', 'back', 'the', 'area', 'read', 'read', 'less']",2019-08-19,Redding,en,3,0,3
